(cllama) [INFO] [2025-08-11 21:28:15,999] [workflow.py:invoke] llm initialized..
(cllama) [INFO] [2025-08-23 23:06:23,237] [current_weather_tool.py:current_weather_tool] URL = http://api.weatherapi.com/v1/current.json?key=f09bb36107884f0a952144358252008&q=Ireland
(cllama) [INFO] [2025-08-23 23:06:23,238] [weather_alerts_tool.py:weather_alerts_tool] URL = http://api.weatherapi.com/v1/alerts.json?key=f09bb36107884f0a952144358252008&q=Ireland
(cllama) [INFO] [2025-08-23 23:06:23,238] [current_weather_tool.py:current_weather_tool] calling current weather api tool...
(cllama) [INFO] [2025-08-23 23:06:23,238] [weather_alerts_tool.py:weather_alerts_tool] calling weather alerts api tool...
(cllama) [INFO] [2025-08-23 23:06:23,394] [current_weather_tool.py:current_weather_tool] fetched Ireland weather information!
(cllama) [INFO] [2025-08-23 23:06:23,395] [weather_alerts_tool.py:weather_alerts_tool] fetched Ireland weather information!
(cllama) [DEBUG] [2025-08-23 23:06:23,395] [current_weather_tool.py:current_weather_tool] DATA = {'location': {'name': 'Dublin', 'region': 'Dublin', 'country': 'Ireland', 'lat': 53.333, 'lon': -6.249, 'tz_id': 'Europe/Dublin', 'localtime_epoch': 1755987407, 'localtime': '2025-08-23 23:16'}, 'current': {'last_updated_epoch': 1755987300, 'last_updated': '2025-08-23 23:15', 'temp_c': 18.2, 'temp_f': 64.8, 'is_day': 0, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}, 'wind_mph': 3.6, 'wind_kph': 5.8, 'wind_degree': 195, 'wind_dir': 'SSW', 'pressure_mb': 1019.0, 'pressure_in': 30.09, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 94, 'cloud': 75, 'feelslike_c': 18.2, 'feelslike_f': 64.8, 'windchill_c': 14.2, 'windchill_f': 57.6, 'heatindex_c': 14.1, 'heatindex_f': 57.3, 'dewpoint_c': 12.9, 'dewpoint_f': 55.2, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 0.0, 'gust_mph': 7.5, 'gust_kph': 12.1}}
(cllama) [DEBUG] [2025-08-23 23:06:23,395] [weather_alerts_tool.py:weather_alerts_tool] DATA = {'alert': []}
(cllama) [INFO] [2025-08-23 23:24:16,207] [weather_alerts_tool.py:weather_alerts_tool] URL = http://api.weatherapi.com/v1/alerts.json?key=f09bb36107884f0a952144358252008&q=London
(cllama) [INFO] [2025-08-23 23:24:16,207] [weather_alerts_tool.py:weather_alerts_tool] calling weather alerts api tool...
(cllama) [INFO] [2025-08-23 23:24:16,363] [weather_alerts_tool.py:weather_alerts_tool] fetched London weather information!
(cllama) [DEBUG] [2025-08-23 23:24:16,363] [weather_alerts_tool.py:weather_alerts_tool] DATA = {'alert': []}
